Position,UGNT,NA28,isEqual,PartOfSpeech
0, Παυλος, Παυλος, true, noun
1, δουλος, δουλος, true, noun
2, θεου, θεου, true, noun
3, αποστολος, αποστολος, true, noun
4, δε, δε, true, conj
5, Ιησου, Ιησου, true, noun
6, Χριστου, Χριστου, true, noun
7, κατα, κατα, true, prep
8, πιστιν, πιστιν, true, noun
9, εκλεκτων, εκλεκτων, true, adj
10, θεου, θεου, true, noun
11, και, και, true, conj
12, επιγνωσιν, επιγνωσιν, true, noun
13, αληθειας, αληθειας, true, noun
14, της, της, true, det
15, κατʼ, κατʼ, true, prep
16, ευσεβειαν, ευσεβειαν, true, noun
17, επʼ, επʼ, true, prep
18, ελπιδι, ελπιδι, true, noun
19, ζωης, ζωης, true, noun
20, αιωνιου, αιωνιου, true, adj
21, ην, ην, true, pron
22, επηγγειλατο, επηγγειλατο, true, verb
23, ο, ο, true, det
24, αψευδης, αψευδης, true, adj
25, θεος, θεος, true, noun
26, προ, προ, true, prep
27, χρονων, χρονων, true, noun
28, αιωνιων, αιωνιων, true, adj
29, εφανερωσεν, εφανερωσεν, true, verb
30, δε, δε, true, conj
31, καιροις, καιροις, true, noun
32, ιδιοις, ιδιοις, true, adj
33, τον, τον, true, det
34, λογον, λογον, true, noun
35, αυτου, αυτου, true, pron
36, εν, εν, true, prep
37, κηρυγματι, κηρυγματι, true, noun
38, ο, ο, true, pron
39, επιστευθην, επιστευθην, true, verb
40, εγω, εγω, true, pron
41, κατʼ, κατʼ, true, prep
42, επιταγην, επιταγην, true, noun
43, του, του, true, det
44, σωτηρος, σωτηρος, true, noun
45, ημων, ημων, true, pron
46, θεου, θεου, true, noun
47, Τιτω, Τιτω, true, noun
48, γνησιω, γνησιω, true, adj
49, τεκνω, τεκνω, true, noun
50, κατα, κατα, true, prep
51, κοινην, κοινην, true, adj
52, πιστιν, πιστιν, true, noun
53, χαρις, χαρις, true, noun
54, και, και, true, conj
55, ειρηνη, ειρηνη, true, noun
56, απο, απο, true, prep
57, θεου, θεου, true, noun
58, πατρος, πατρος, true, noun
59, και, και, true, conj
60, Χριστου, Χριστου, true, noun
61, Ιησου, Ιησου, true, noun
62, του, του, true, det
63, σωτηρος, σωτηρος, true, noun
64, ημων, ημων, true, pron
65, Τουτου, Τουτου, true, pron
66, χαριν, χαριν, true, prep
67, απελιπον, απελιπον, true, verb
68, σε, σε, true, pron
69, εν, εν, true, prep
70, Κρητη, Κρητη, true, noun
71, ινα, ινα, true, conj
72, τα, τα, true, det
73, λειποντα, λειποντα, true, verb
74, επιδιορθωση, επιδιορθωση, true, verb
75, και, και, true, conj
76, καταστησης, καταστησης, true, verb
77, κατα, κατα, true, prep
78, πολιν, πολιν, true, noun
79, πρεσβυτερους, πρεσβυτερους, true, adj
80, ως, ως, true, conj
81, εγω, εγω, true, pron
82, σοι, σοι, true, pron
83, διεταξαμην, διεταξαμην, true, verb
84, ει, ει, true, conj
85, τις, τις, true, pron
86, εστιν, εστιν, true, verb
87, ανεγκλητος, ανεγκλητος, true, adj
88, μιας, μιας, true, adj
89, γυναικος, γυναικος, true, noun
90, ανηρ, ανηρ, true, noun
91, τεκνα, τεκνα, true, noun
92, εχων, εχων, true, verb
93, πιστα, πιστα, true, adj
94, μη, μη, true, adv
95, εν, εν, true, prep
96, κατηγορια, κατηγορια, true, noun
97, ασωτιας, ασωτιας, true, noun
98, η, η, true, conj
99, ανυποτακτα, ανυποτακτα, true, adj
100, δει, δει, true, verb
101, γαρ, γαρ, true, conj
102, τον, τον, true, det
103, επισκοπον, επισκοπον, true, noun
104, ανεγκλητον, ανεγκλητον, true, adj
105, ειναι, ειναι, true, verb
106, ως, ως, true, conj
107, θεου, θεου, true, noun
108, οικονομον, οικονομον, true, noun
109, μη, μη, true, adv
110, αυθαδη, αυθαδη, true, adj
111, μη, μη, true, adv
112, οργιλον, οργιλον, true, adj
113, μη, μη, true, adv
